"title","director","cast","country","date_added","release_year","rating","duration","listed_in","description"
"15 Killings","I. Drakos","Steve Bongeorno, Maria Olsen, JT Richardson","","",2020,"18+","97 min","Horror, Suspense","After committing a series of multiple murders, a neurologist visits an incarcerated killer, living in exile. She studies him and his brain and discovers the horror that lurks behind his violent impulses."
"Warmed-Over Krautrock","Mark Tompkins","Jim Tavaré, Kate Dalton, Derek James Elstro, Adam Weber, Cara Leahy","","",2021,"ALL","82 min","Comedy","Welcome to Essential Music, an L.A. record store with more staff members than customers, and where the LP covers act as a Greek chorus. A comedy for anyone who's ever spent too much time obsessing over playlists."
"The Most Fun You Can Have Dying","Kristin Marcon","Matt Whelan, Rozane Mesquida, Pana Hema-Taylor","","",2021,"13+","97 min","Drama, Romance","Michael steals the money raised for his cancer treatment to go on a trip to Europe, where he falls in love with an enigmatic French drifter."
"The Heiress","Chris Bell","Candis Nergaard, Jayne Wisener, David Schaal, Jonny Phillips, David Wayman","","",2021,"18+","83 min","Horror","Claire and Anna are devoted sisters who live together. Claire begins to see ghostly visions and is hospitalized but the specters were after Anna and her unborn child. They battle with a demon that has cursed the family for three generations."
"The Funeral Home","Mauro Iván Ojeda","Luis Machín, Celeste Gerez, Camila Vaccarini, Susana Varela, Hugo Arana","","",2021,"16+","86 min","Horror","A dysfunctional family lives amongst coffins and mischievous supernatural entities that visit daily. They attribute the paranormal manifestations to their mortuary work. But there is a presence there that means them harm."
"Tales of an American Hoodrat","Brandon Lunzman","Chris Beetem, Brandon Lunzman, Amirah LaPlant, Tylan Glover","","",2019,"18+","99 min","Comedy, Drama","A coming of age story that follows a group of millennial teenagers, as they live their days of adolescence by their own set of rules."
"Strictly For The Streets Vol. 1","Katoria Chanyasubkit","Ashima Franklin, Amanda Surviety, Julian Horton, Boujie Boss","","",2021,"18+","70 min","Comedy, Drama, Romance","Shantel decides to leave Ivy League college in her senior year and attend an HBCU in Savannah, GA. What she quickly learns is that the HBCU lifestyle is a completely different world."
"Sacrilege","David Creed","Tamaryn Payne, Emily Wyatt, Sian Abrahams, Naomi Willow","","",2021,"18+","83 min","Horror","During the Summer solstice, four young women find themselves in the grips of a mysterious pagan cult. They are offered up as a sacrifice to the cult's enigmatic ancient goddess, who has the ability to sense their greatest fears."
"Ruben Guthrie","Brendan Cowell","Patrick Brammall, Harriet Dyer, Abbey Lee","","",2015,"16+","94 min","Comedy, Drama","A party boy lifestyle with model fiancée collapses when he hits the bottom of his pool. Mum hits the panic button as his fiancée issues a final challenge. Ruben must battle the bottle and the city that won't let him."
"Road to Damascus","Anthony G. Perkins","Frank Red, Becky Killerson, Denzel Moore, Christopher Michael Carney, Ali Daniels, Carl Swanson, Jordan Curtis, Janan Terpstra, Tiffany Cornwell, Greg Creft, Brian Gibson, Rex Isom Jr., Rudy Pavich, Keilani Lee, Christian Reinhart, Holly Peterson, Susan Chambers, Joseph Singer","","",2021,"18+","99 min","Drama, Suspense","When Shelly, a vulnerable trans woman, goes missing- her roommate, Francis, a depressive recovering alcoholic, must delve into his community's seedy underbelly and confront Shelly's nightmarish past in order to find her."
"Pazhagiya Naatkal","Ramdev","Meeran, Meghana, Srinath","","",2021,"13+","120 min","Romance","The story revolves teen romance between students, which is dismissed as infatuation by their respective parents. Then, in a turn of events, the girl achieves her dream of becoming a doctor. The boy was a loser. They are meeting again after many years. The boy turned his failure into success without knowing that the same girl helped him to achieve in his career."
"Konga TNT","Brett Kelly","","","",2021,"13+","73 min","Science Fiction","After becoming injected with a formula derived from an alien ship, a lab gorilla escapes from his containment and befriends two young boys. The alien formula causes the gorilla to grow to gargantuan size and rampage throughout the city and the boys must find a way to save their simian friend before the army takes him down."
"Jean of the Joneses","Stella Meghie","Taylour Paige, Gloria Reuben, Sherri Shepherd, Erica Ash, Michelle Hurst, Shailyn Pierre-Dixon, Coco Assad, Anna Hopkins, François Arnaud, Mamoudou Athie, Demore Barnes, Cara Ricketts","","",2016,"16+","86 min","Comedy, Drama, Romance","Chaos ensues after the estranged patriarch of the Jones family dies on their doorstep. When the paramedic who answers their 911 call tried to win over acerbic Jean Jones, his attempts are disrupted by old conflicts that come to a boil at the funeral."
"Hawk & Rev: Vampire Slayers","Ryan Barton-Grimley","Ryan Barton-Grimley, Ari Schneider, Jana Savage, Richard Gayler, Casey Graf, Jeff Lorch","","",2021,"18+","85 min","Comedy, Horror","HAWK doesn't just dream about killing vampires... He eats, sleeps and breaths it! One night, they appear at his work and of course no one believes him, except his friend REV a dimwitted vegan-pacifist. Together they join forces to save their hometown!"
"Back to Gaya","Lenard Fritz Krawinkel, Holger Tappe","Patrick Stewart, Emily Watson, Glenn Wrage","","",2021,"7+","88 min","Action, Animation, Kids","When a group of cartoon characters realize they are just part of an animated TV show, they escape from the mythical land of Gaya into the real world where they come face-to-face with their creator. From the writers of A BUG'S LIFE."
"After the Reign","Geo Santini","Geo Santini, Rene Rosado, Cory Rooney, Jacory Gums, Tiffany Daniels, Jessica Meza, Nick Finch, Scotty Tovar, Rayniel Rufino","","",2021,"18+","86 min","Comedy","Professional internet troll, Benito Cruz, attempts to pull off his greatest scheme yet, transforming into hardcore rapper 'Lil Tito.' But he soon finds out that the rap game is even more unpredictable than he expected... Will he survive?"
"Aalas Motaapa Ghabraahat","Omar Iyer","Karunesh Talwar","India","",2021,"16+","52 min","Comedy","Karunesh Talwar is his usual annoyed self in his second stand up special. The whole show is about the relationships he shares with his parents & girlfriend, an attempt at self-awareness & the fact that we’re all just modified versions of our parents. Written during the Covid lockdown and workshopped on Zoom shows, this special is different from any hour of comedy he’s come up with before."
"A I 1.O","Feroz Qureshi","Feroz Qureshi, Jahina Mulla Qureshi, Mrunmayi Patil, Mantosh Kumar","","",2021,"18+","116 min","Drama","Aman, an app developer broke up with his wife Heena. To fill his empty life he met with an AI friend Jessica. She helps him understand the value of love by a series of criminal events, and finally to get his wife back."
"Wheels on the Bus and More Kids Songs","Shannon Jones","Alyssa, Jacinta, Jackson, Rachel","","",2019,"ALL","53 min","Arts, Entertainment, and Culture, Kids","Ride the Bus with Bounce Patrol! 50 minutes of some of Bounce Patrol's best songs from our takes on classic nursery rhymes (""Wheels on the Bus"", ""Mary Had a Little Lamb"") to our grooviest originals (""Do The Funky Robot"", ""Little Sharks"")!"
"Nee Needala","DASARI NAGESWARA RAO","BDL Satyanarayana, Prem Sagar, Helapuri Vali, Sandya Reddy, Sri vidya, Govind Srinivas, Dhanunjay reddy","","",2021,"16+","117 min","Drama, Horror","In a village called Tyajampudi there will be a serial killings one by one in the sameway, and who was killed they are all friends, why they being killed and what's the actual story starts with a horror incidents."
"Narbachi Wadi","Aditya Ajay Sarpotdar","Dilip Prabhavalkar, Bhalchandra Kadam, Manoj Joshi, Atul Parchure, Ambarish Deshpande, Vikas Kadam, Jyoti Malshe, Nikhil Ratnaparkhi, Kamlakar Satputhe, Kishori Shahane, Suhas Shirsat","","",2013,"13+","119 min","Comedy, Drama","A village landlord desires to retrieve a grove given by his father, to Narba's father for saving his life. Will Narba be successful in salvaging his father's inherited grove from the cruel landlord? What happens next? Does Narba take the poison? Does he end his life? Or as usual he becomes successful to defeat the biggest tyrant called 'The death'?"
"Meera Mathur","RAHUL KUMAR SINGH","ALAN KAPOOR, KHUSHI RAJPOOT, ASHWIN KAPOOR, RAMAN AGNIHOTRI","","",2021,"18+","91 min","Drama","This Is The Story Of Woman Named As Meera Mathur, Who Is Suffering From Domestic Violence, How Do These Woman Fight To Save Their Love And Self- Esteem"
"Kopy Kings","Greg Dorchak","Kira Pozehl, David Moxham, Darrell Mitchell, David Blackwell","","",2016,"18+","94 min","Arthouse, Comedy","The misfits who work at a 24-hour copy center in Austin have their lives disrupted with a new hire - just as the owner blows into town with bad news: he is selling out to corporate America."
"Karuppankaatu Valasu","Selvendran","Ebenezer Devaraj, Neelima Esai","","",2020,"13+","110 min","Action, Comedy, Drama","A young woman, who is the daughter of the chieftain, tries to modernise her village. However, when a string of murders follows, her efforts are thwarted."
"Death by a Thousand Cuts","Jake Kheel, Juan Mejia Botero","Yolanda Léon, Jean Wiener","","",2019,"16+","74 min","Documentary","In Death by a Thousand Cuts, the murder investigation of a Dominican park ranger by a Haitian charcoal producer reveals the complex, growing conflict between the Dominican Republic and Haiti in the battle for natural resources."
"Coming For The King","Jermaine Smith","John Allen Shaw, Bill Johnson, Paul Mauriello, Roberto Ragone, Dyesha Hicks","","",2021,"18+","66 min","Drama","Coming for the King is a fictional account of the events and the people that surrounded Martin Luther King Jr. from early 1963 until his untimely demise in the Spring of 1968."
"Assamiyin America Payanam","G. Nageswara Reddy","Vishnu Manchu, Pragya Jaiswal, Brahmanandam, Pradeep Rawat, Thakur Anoop Singh, Kota Srinivasa Rao, Posani Krishna Murali, Master Bharath, Satya Krishnan, Surekha Vani, Praveen, Vidyullekha Raman, Prudhviraj, Prabhas Sreenu","","",2021,"13+","124 min","Comedy","A young priest fools his guru into taking him along on a group tour to the US in order to go after the love of his life."
"A Friendship","Abu Nizam","Abu Nizam, Afroza Sarwar","","",2021,"13+","84 min","Arthouse, Drama","A middle-aged man trapped in frustration and loneliness in Toronto comes across a lady when they help each other to get back to their lives from thousands of miles apart."
"Morphle - Underwater Kids Cartoons and More Magical Stories","Arthur van Merwijk","","","",2020,"ALL","23 min","Animation, Kids","Morphle can morph into anything his human companion Mila wants. From dinosaurs to cars, and animals like cats, dogs and lions! Your kids will love this fun, and educational videos for kids! They will learn colors, shapes, numbers, the alphabet, and more! Sing along to some of the classic nursery rhymes, original songs or watch these educational cartoons that your kids will surely enjoy!"
"Little Baby Bus - Superhero Red Bus & More Kids Cartoons","Moonbug Entertainment","","","",2020,"ALL","30 min","Kids","Little Baby Bus is an animated online educational kids series brought to you by the creators of Little Baby Bum. The adventures of the little red bus encourages learning, creativity and fun! Learn colors, shapes and numbers with of our well-loved characters!"
"Little Baby Bum - Wheels on the Bus & More Vehicle Songs for Kids","","","","",2020,"ALL","31 min","Kids","Little Baby Bum is a fun, educational children's nursery rhyme channel watched globally by kids. Learn colors, shapes, numbers with some of our most well-loved characters! Sing along to some of the most classic vehicle-themed nursery rhymes such as 'Wheels on the Bus', 'Carwash Song', 'Vehicle Sounds Song', and more!"
"IVÁN MARÍN: WHY THE HELL?","Fernando Ayllón","Iván Marín","","",2020,"16+","70 min","Comedy","Why the hell do people talk to plants? Why is God usually bothered? Why do porn actresses not take their heels off? These and many other questions try to get answered in a monologue in which Ivan presents a detailed repertoire without feelings involved, it exposes insufferable professionals and establishes enigmas that no one else has revealed."
"Ungli","Renzil D'Silva","Emraan Hashmi, Kangana Ranaut, Sanjay Dutt, Randeep Hooda, Angad Bedi, Kader Khan","India","",2014,"13+","114 min","Comedy, Drama, Suspense","Fed up with the corruption that was prevalent in the government entities, four ordinary friends band together to form the Ungli gang, aiming to cleanse Mumbai of crime. Consisting of Kalim(Angad Bedi), Gautam(Neil Bhoopalam), Maya(Kangana Ranaut) and Abhay(Randeep Hooda), they target people in the criminal regime and enforce their brand of justice on them, always staying a step ahead of police."
"True","Shyam Mandala","Harish Vinay, Lavanya, Madhusudan, TNR, DS Rao Manikanta, Mahendranath HM, Subhodayam Subbarao, Brahmanandareddy, Bahubali Kalpalatha","","",2021,"13+","90 min","Romance, Suspense","The mysterious circumstances around the death of the lead character, Vignesh's ( Harish Vinay) father, leads him down a path filled with unexpected twists and turns. Nothing is as it seems, but will the truth finally set him free"
"Timepass love antey","GS Goutham Krishna","Vijay Surya Yaswada, Sneha Sharma Dhamera, Dahlia Sharif, Sujatha, Sai pusala, Venkatesh veerla, Sarveshwar vadloori, Gali Srinivas","","",2021,"18+","102 min","Drama, Romance","A Story of a man who search's for true love and caring like mother's love. In finding a true love he was cheated by girls, And all this things push him into a depression. What happened to him, did he got the love which he was awaited"
"The Rising Voices Story","Kwanza Nicole Gooden","Lena Waithe, Rishi Rajani, David Fortune, Stacy Pascal Gaspard, Gabriela Ortega, Shelly Yo, Johnson Cheng, Boma Iluma, Deondray Gossfield, Quincy LeNear Gossfield, Elisee Jr St Preux","","",2021,"16+","16 min","Documentary","Through sacrifice, deferred dreams, and the support of their families and communities, ten BIPOC filmmakers commit themselves to the work of storytelling."
"The Parish","David S. Hogan","Angela DiMarco, Sanae Loutsis, Ray Tagavilla, Bill Oberst Jr., Sara Coates, Gin Hammond, Amber Wolfe","","",2021,"16+","82 min","Horror, Suspense","Haunted by the death of her husband, Liz moves with her daughter to a small town. The real nightmares begin when they stumble upon a long-buried scandal and a blood thirsty nun who will stop at nothing to protect the deadly secrets of The Parish."
"The Hike","Chip Taylor Communications","Vinnie Vineyard, Kandi Thompson, Luke Walker, Travis Graves","","",2021,"18+","92 min","Action, Horror","Vinnie and Robin embark on a much-anticipated hike. Seemingly isolated from the rest of the world, they soon find disturbing signs they are not alone and must push themselves past their limits to escape the woods, avoiding dangers that are both seen and unseen. Based on true events and one of the oldest Native American legends of the Great Smoky Mountains, Spearfinger, will they survive the hike?"
"The green force","Sudhirdurlabh tandel","mayursinh chavda, pooja prajapati","","",2021,"7+","107 min","Action","The story is about one unofficial anti-terrorist Force name ""green force"" which is operated by ex-Army colonel chief. He appointed the suspended Court marshaled honest officer as an agent of Green force This force formed to fight against the enemies of Our country india and also of humanity All agents Are ready to died for the nation This is a fully Patriot emotional suspense thriller action movie"
"The Cookie Project","John Gaspard","Dawn Brodey, Joshua Will, Amy Shomshak, Shanan Custer, Kelli Gorr, Joel Raney, Ari Hoptman, Charles Hubbel","","",2015,"18+","87 min","Comedy, Drama","Seven deadly sins ... brought to life via seven ordinary cookie deliveries. Funny, sad, sexy and dramatic, Leo the cookie guy has memorable encounters in what just might be his last day at work."
"The Book of Job","Andrew Oh","Benjamin Singel, Lauren Floyd, Miles Alexander, Allison Hardin, Cole Cordell, Robb Hudspeth, Eileen Alger, Eric Berg","","",2021,"13+","91 min","Comedy, Drama","One Sunday mass, Job Dugan falls madly in love with the new girl at school, but quickly discovers that she's already dating the captain of the football team. Job decides to mimic her boyfriend to try and win her over."
"Tehreer","Madasir Dar","Vikram Gokhale","","",2021,"13+","22 min","Drama","A retired judge is penning down his memoirs in seclusion. The arrival of a letter from Central Jail, his last verdict plays on his mind and the door bell rings."
"Soñadora: A Rising Voices Film","Stacy Pascal Gaspard","Franceli Chapman, Leovina Charles, Naomi DeGraff, Cristina Encarnacion, Chelsea Gaspard, Bob Sherer, Bechir Sylvain","","",2021,"13+","13 min","Drama, Science Fiction","A young Caribbean immigrant mother struggling to make ends meet at her fabric factory job finds a release through her abandoned dream of dance."
"Sol Invictus","Ben Carland","Jake White, Jake Brown, Caleb Courtney, Tyler Thomas, Spenser Pollard, Sky King, Aaron Kuban","","",2021,"13+","83 min","Action, Drama, Science Fiction","A group of young adults are stranded on a hostile alien planet and must survive long enough to be rescued."
"Soft Sounds of Peeling Fruit: A Rising Voices Film","Shelly Yo","Shannon Young Cho, Luke Kim, Greena Park, Sook Hyung Yang","","",2021,"13+","14 min","Drama","A coming of age story of a rebellious Korean American teenager named Hayoung who discovers the complexities of her mother's love."
"Shoebox: A Rising Voices Film","David Fortune","Delijah McAlpin, Myles Cranford, Garland Scott, Lyn Alicia Henderson, Garret Davis, Isaac Clay","","",2021,"13+","15 min","Drama","After sweeping hair at a local barbershop, a 12-year-old boy uses his first payment to honor his late mother."
"Sherni","Amit Masurkar","Vidya Balan, Sharat Saxena, Vijay Raaz, Neeraj Kabi, Brijendra Kala, Mukul Chadda, Ila Arun, Sampa Mandal","","",2021,"ALL","131 min","Drama","A jaded forest officer (Vidya Balan) leads a team of trackers and locals intending to capture an unsettled tigress, while battling intense obstacles and pressures, both natural and man-made."
"Shaandaar","Vikas Bahl","Shahid Kapoor, Alia Bhatt, Pankaj Kapur, Sanjay Kapoor, Niki Aneja Walia, Sanah Kapoor, Sushma Seth, Karan Johar, Vikas Verma, Shibani Dandekar, Anjana Sukhani, Tessa Vellara, Teena Vellara","India","",2015,"13+","143 min","Comedy, Drama, Romance","A young wedding planner, Jagjinder Joginder (Shahid Kapoor), brings together Bipin Arora's flawed family in the backdrop of a destination wedding in London for his eldest daughter, while both the families try to save their empires. Will the Shaandar wedding succeed and also help the families save their dignifies empires."
"Pororo Musical - Pororo Bugs Adventure","Pororo the Little Penguin","","","",2021,"ALL","20 min","Animation, Kids","One sunny day, Pororo played hide and seek with his new friend Bomi. Suddenly, they saw a strange light and turned small like bugs! After that, they met a honey bee 'Haney' who wants to become a singer. Haney is so bad at singing but she feels so happy while singing. Will Haney become a singer? Can Pororo and Bomi finish their adventure and successfully come back to home?"
"Pororo Movie - Pororo vs Shark","Pororo the Little Penguin","","","",2020,"ALL","20 min","Animation, Kids","Pororo and friends decided to travel in the sea, which is full of various fish friends, pretty corals and seaweeds! Besides, there's a coral playground ! Fish friends told us not to go to coral playground, but Crong and I wanted to sneak in. But...what we met there was the horrible shark! Aah! Wait! I think the shark is hiding something. What is the secret story that the sharks want to tell us?"
"Pororo Movie - Pororo & Loopy's Adventure","Pororo the little penguin","","","",2020,"ALL","22 min","Animation, Kids","Oh, no!! Pororo's friends are taken by the Giant!! However, Pororo and Loopy continue fighting because they are so different! Can Pororo and Loopy finish their adventure and successfully save their friends?"
"Only The Moon Stands Still: A Rising Voices Film","Johnson Cheng","Shirley Chen, Mardy Ma","","",2021,"13+","23 min","Drama","The sun rises and sets. The stars dance, and fade away. Only the moon stands still."
"La Chica del Lago","Jorge Bastidas Zea","Alisson Guerrero, Maricruz Ramírez, José Vergara, Edisson Cedeño, Vicente Sánchez, José Eduardo Vásconez, Vincent Buckham","","",2018,"18+","70 min","Drama, Science Fiction","Legend has it that on July 7, each 100 years in ""enchanted lake"", a mysterious girl will test her charms to help the people of good heart and punish people corrupt."
"Killer Concept","Glenn Payne","Coley Bryant, Casey Dillard, Glenn Payne","","",2021,"16+","81 min","Horror, Suspense","Three creatives team up to write a screenplay chronicling a string of murders in their town, but one of the three may be closer to the story than the others realize."
"KiiYii - Johny Johny Yes Papa & More Nursery Rhymes for Kids","Moonbug Entertainment","","","",2020,"ALL","26 min","Kids","A new collection of colorful and wonderfully engaging nursery rhymes and children's songs that will thrill your child while educating them in their numbers, ABCs and general learning! From the creators of LittleBabyBum, KiiYii allows the child's imagination to go further!"
"Kapoor & Sons","Shakun Batra","Sidharth Malhotra, Fawad Khan, Alia Bhatt, Anahita Oberoi, Vikram Kapadia, Anuradha Chandan, Pradeep Pradhan, Fahim Shaikh, Aalekh Kapoor, Sukant Goel","","",2016,"13+","138 min","Comedy, International","Amarjeet Kapoor's (Rishi Kapoor) dying wish is that his children and grandchildren take a family picture together and have it titled as, 'Kapoor and Sons- since 1921'. What seems to be an easy task turns out much harder than expected when one secret after another about each family member is revealed. Watch to find out if this dysfunctional family can carry out an old man's dying wish."
"Kaathadi","J. Ramesh","Thavasi, Murali Krishnan, Jansi, Raveena","","",2021,"13+","86 min","Drama, Kids, Special Interest","Prem and Priya as Siblings in a Nuclear family fall prey to the perils of inadvertent use of social media. Parents are lost in their world and have a different outlook regarding the upbringing of their children. The siblings now have to come to terms with life and thankfully they have their grandfather, who pays a visit to their family in the city."
"Jean-François and the meaning of life","Sergi Portabella","Max Megias, Claudia Vega","","",2018,"13+","85 min","Arthouse, Young Adult Audience","A twelve-year-old existentialist kid runs away from home to meet his favorite philosopher, Albert Camus, not knowing he has been dead for fifty years. On his way he finds love and rejection for the first time in his life."
"Humpty Sharma Ki Dulhania","Shashank Khaitan","Alia Bhatt, Varun Dhawan, Ashutosh Rana, Deepika Amin, Siddharth Shukla, Sahil Vaid, Gaurav Pandey, Jaswant Daman, Keneth Desai, Mahnaz Damania, Aditya Sharma","","",2014,"13+","131 min","Comedy, Drama, Romance","Watch this exciting romantic comedy, where the spirited Kavya and the happy-go-lucky Humpty meet at the most unexpected point of their lives. In no time the effortless warmth within them turns into a tale of love, furthermore steering them through a love roller coaster."
"Huella: A Rising Voices Film","Gabriela Ortega","Shakira Barrera, Denise Blasor, Carla Valentine","","",2021,"16+","14 min","Suspense","When the death of her grandmother unleashes a generational curse, a disenchanted flamenco dancer resigned to a desk job is forced to experience the five stages of grief through a visit from her female ancestors, pushing her to finally break the cycle."
"Hasee Toh Phasee","Vinil Matthew","Parineeti Chopra, Sidharth Malhotra, Sharat Saxena, Manoj Joshi, Navneet Nishan, Nina Kulkarni, Lily Patel, Anil Mange, Adah Sharma","","",2014,"13+","135 min","Comedy, Drama, International","An Indian romantic comedy about Nikhil (Sidharth Malhotra) who is very committed to his girlfriend Karishma (Adah Sharma), falls in love with her younger sister Meeta (Parineeti Chopra) but is too guilty to follow his heart. Whom will he choose ?"
"Happy Anniversary","Deep Basu","Namit Das, Auritra Ghosh, Sunny HInduja","","",2021,"16+","23 min","Suspense","Rahul and Leena are throwing an Anniversary party to save their marriage, when an unwanted visitor arrives. A crime takes place but the SHOW must go on."
"Gretchen - The Tragedy","Michael Junghanns","Franziska Fritsch, Axel Müller, Melissa Nobis","","",2020,"16+","10 min","Drama","Gretchen, a prisoner of an insane asylum, describes in flashbacks her path from a loving woman to a murderer. Obsessed with the devil."
"Gori Tere Pyar Mein","Punit Malhotra","Imran Khan, Kareena Kapoor, Shraddha Kapoor, Anupam Kher, Esha Gupta","","",2013,"13+","144 min","Comedy, Romance","This modern day romance has Sriram Venkat(Imran Khan)in the role of an edgy self-centered fellow who realises he is still in love with his ex-girlfriend Dia (Kareena Kapoor) , whom he had disappointed once. He must become a better version of himself in order to earn her trust and love back. This is the story of Sriram Venkat's journey to win his love back."
"Galipattam","j ramesh","Thavasi, Raveena, Murali Krishna, Johnsi, Kamalesh","","",2021,"13+","86 min","Drama, Kids, Special Interest","Prem and Priya as Siblings in a Nuclear family fall prey to the perils of inadvertent use of social media. Parents are lost in their world and have a different outlook regarding the upbringing of their children. The siblings now have to come to terms with life and thankfully they have their grandfather, who pays a visit to their family in the city."
"Flames: A Rising Voices Film","Deondray Gossfield, Quincy LeNear Gossfield","Deion Smith, Dontavius Williams","","",2021,"16+","13 min","Drama","Two childhood friends find themselves alone in the woods before a high a school graduation party. Soon, unresolved issues and old resentments ignite a forbidden blaze between them."
"Ee Kathalo Paatralu Kalpitam","Abhiram M","Pavan Tej Konidela, Meghana, Lucky, Babloo Prithiveeraj, Raghu Babu, Abhay Bethiganti, Naveen Neni, Noel Sean","","",2021,"13+","117 min","Drama, Suspense","A sincere cop trying to bust a high profile prostitution racket, an aspiring filmmaker trying to make a film based on real-life events, a young actor who wants to make his mark in films, and an ex-model desperate to make a comeback realize that there is a common crime which binds all of them together in the story of Ee Kathalo Pathralu Kalpitham. Who is the black sheep?"
"Derpy Bacon & mEGGz","Vincent Carter","Vincent Carter","","",2021,"13+","54 min","Animation, Comedy","Derpy Bacon and mEGGz are the premiere animated hip-hop/breakfast duo in the world. Derpy Bacon is a misunderstood piece of turkey bacon, and mEGGz is a no nonsense egg who hasn't quite broken out her shell yet. Together, they go on wild adventures, meet interesting new characters, all while laying down the phattest beats and dopest rhymes the world has ever had the pleasure of listening to."
"Crypto Legacy (2021)","Charles A Townsend","Brian Kunz, Sheri Dixon, Linzi Grey, Nathaniel Barton, Brandon Young, Thalia Reynolds, Allison Joyce, Todd Danner, Carmen Collins, Timothy Takeuchi, James Moore, Rosanne Hinshaw, Marcus Evans, Drake Townsend, Annemarie Milewski, Matthew Feldhaus, Kayla Danner, Christina Townsend","","",2021,"16+","72 min","Action, Comedy, Horror","A young man fears his family's farm. He catches a strange shadow creature on video. Unwanted attention builds as the video becomes popular in the surnatural circle. A call is made to the Crypto Hunters, a specialized group of investigators. Will the Crypto Hunters get to the bottom of the mystery. Or will they bring more troubles with them."
"Craig Ferguson: I'm Here To Help","Jay Chapman","Craig Ferguson","","",2013,"18+","81 min","Arts, Entertainment, and Culture, Comedy, Special Interest","Craig Ferguson unleashes his trademark stream-of-consciousness comedy before a sold-out crowd, riffing on fatherhood, Helen of Troy and shark penises. His show's not safe for kids - or the easily offended!"
"Comfort: A Rising Voices Film","Boma Iluma","Osama Ogbeide, Lois Okoli, Joshua Ikpeama, Kemi Adeyemi","","",2021,"16+","14 min","Drama","After an ICE raid, a Nigerian immigrant father must tell his son why his mother is not coming home."
"Coche Bomba: A Rising Voices Film","Kantú Lentz","Viktoria Luna, Iliana Isabella Perez","","",2021,"16+","11 min","Drama","Eleven-year-old Rosa loves aliens and hates everything else, including her annoying little sister Lu. When a car bomb detonates while she's babysitting, Rosa must bring her sister to safety by convincing her that aliens have arrived to greet them."
"Cinephile: A Rising Voices Film","Dre Ryan","Dina Shihabi, Stephanie Allynne","","",2021,"18+","16 min","Drama","Determined to portray an authentic depiction of female pleasure for her role in a film, a movie star accepts her therapist's offer for an unconventional treatment and discovers the enigma of desire..."
"Chittibabu","Ajay Koundinya","Sree sai jaswanth, Renu, Sandya, Vijayakumar, Laxmi","","",2021,"16+","112 min","Drama","This story is from 1975 real story narsam pally small village in below 500 houses but village people faces a several problems. But everyone face biggest problem of daily need water usage. At that time a boy from same village try to solve the water problem with help of his friends. What happened to the village is their problems solved ?"
"Brothers","Karan Malhotra","Akshay Kumar, Sidharth Malhotra, Jackie Shroff, Jacqueline Fernandez, Shefali Shetty, Kiran Kumar, Ashutosh Rana","India, United States","",2015,"13+","155 min","Action, Drama, Sports","Fate makes two estranged brothers, David (Akshay Kumar) and Monty, (Siddarth Malhotra) clash after years of seeking redemption after their mother's accidental death. While his daughter is David's motivation, Monty, the internet sensation will go to any length for glory. Will this fighter brother duo manage to find peace and make up for their past?"
"Boonie Bears: The Big Top Secret","Leon Ding","Joseph S. Lambert, Paul (Maxx) Rinehart, Gene E. Hobbs, Siobhan Lumsden","","",2021,"7+","99 min","Animation, Comedy, Kids","When a flood hits, Briar is washed away and ends up in the company of a traveling circus. Now his brother Bramble must embark on a grand journey to bring him home. Both of the Bear Brothers will need to learn the value of family in this wild adventure."
"Aurinko In Adagio: A Rising Voices Film","Elisee Junior St Preux","Taj Johnson, Dexter Tillis, Erinn Jones, Myriah Reese","","",2021,"13+","15 min","Drama","Isolated from society in a deserted delta community with his austere father, a child musical prodigy prepares for the audition of a lifetime while navigating a newfound skill in ancestral dreaming."
"Agent Revelation","Derek Ting","Michael Dorn, Kayla Ewell, Eve Mauro","","",2021,"16+","86 min","Action, Science Fiction","Jim Yung, a rejected CIA analyst, has been exposed to an ancient 'dust' that transforms him into a super soldier that can communicate with aliens. When a secret organization works with him to discover why aliens have returned to Earth, the truth comes at a price."
"Ringolevio","Kristin Peterson Kaszubowski","Joshua Koopman, Meredith Johnston, Cory Hardin","","",2020,"18+","81 min","Comedy, Drama, Romance","Ada, a reserved young woman with a passion for entomology, travels north to meet her girlfriend's family, but struggles to find common ground."
"Delaware Shore","Raghav Peri","Francis, Portsmith, Ed Aristone, Emily McKinley Hill","","",2018,"18+","98 min","Drama, Horror","A Holocaust survivor who escapes the concentration camps finds refuge on a secluded Delaware Beach and raises her abandoned twin grandchildren."
"Willie, Jamaley & The Cacacoon","Tyler Schnabel, Ryan Dellaquila","Tyler Schnabel, Trystin Bailey, Paul Schnabel, David Lee Hess, Ashley Beth","","",2020,"16+","72 min","Action, Comedy, Science Fiction","Two childhood friends, Willie and Jamaley, embark on a quest to prove the existence of a local mythological creature known as, The Cacacoon."
